"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","2,966,369","1,456,778","1,509,591","190,396","199,509","194,988","204,455","208,607","378,309","374,567","380,913","192,353","177,260","268,763","140,753","55,496","37.8","2,260,229","2,132,333","569,850","465,012","2,260,229","1,095,536","1,164,693","465,012","206,473","258,539","","2,966,369","2,901,882","64,487","2,901,882","2,322,472","468,231","17,091","N","N","N","N","36,555","7,876","6,399","3,606","915","2,960","5,924","8,875","7,148","N","N","N","N","50,385","64,487","18,285","26,867","8,273","1,430","","2,966,369","2,382,371","490,493","47,883","47,459","9,699","55,992","","2,966,369","205,763","153,502","6,487","2,596","43,178","2,760,606","2,176,186","465,816","15,471","36,406","7,148","3,372","56,207","543","55,664","1,341,081"
"    Percent","","2,966,369","49.1%","50.9%","6.4%","6.7%","6.6%","6.9%","7.0%","12.8%","12.6%","12.8%","6.5%","6.0%","9.1%","4.7%","1.9%","(X)","76.2%","71.9%","19.2%","15.7%","2,260,229","48.5%","51.5%","465,012","44.4%","55.6%","","2,966,369","97.8%","2.2%","97.8%","78.3%","15.8%","0.6%","N","N","N","N","1.2%","0.3%","0.2%","0.1%","0.0%","0.1%","0.2%","0.3%","0.2%","N","N","N","N","1.7%","2.2%","0.6%","0.9%","0.3%","0.0%","","2,966,369","80.3%","16.5%","1.6%","1.6%","0.3%","1.9%","","2,966,369","6.9%","5.2%","0.2%","0.1%","1.5%","93.1%","73.4%","15.7%","0.5%","1.2%","0.2%","0.1%","1.9%","0.0%","1.9%","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","38,802,500","19,264,457","19,538,043","2,511,692","2,559,538","2,525,146","2,636,011","2,915,821","5,722,924","5,184,418","5,235,948","2,421,544","2,099,366","2,836,598","1,486,675","666,819","36.0","29,650,921","27,980,746","6,193,974","4,990,092","29,650,921","14,593,490","15,057,431","4,990,092","2,203,388","2,786,704","","38,802,500","37,022,711","1,779,789","37,022,711","23,814,044","2,259,681","286,631","18,335","2,434","9,863","4,444","5,398,090","684,191","1,414,487","1,285,185","274,846","478,854","635,543","624,984","150,072","24,669","26,004","43,617","55,782","5,114,193","1,779,789","261,756","291,835","496,377","37,707","","38,802,500","25,303,253","2,731,697","738,842","6,145,595","302,712","5,534,138","","38,802,500","14,988,770","12,510,971","207,565","86,727","2,183,507","23,813,730","14,849,129","2,155,733","135,245","5,329,431","137,838","96,073","1,110,281","49,427","1,060,854","13,901,594"
"    Percent","","38,802,500","49.6%","50.4%","6.5%","6.6%","6.5%","6.8%","7.5%","14.7%","13.4%","13.5%","6.2%","5.4%","7.3%","3.8%","1.7%","(X)","76.4%","72.1%","16.0%","12.9%","29,650,921","49.2%","50.8%","4,990,092","44.2%","55.8%","","38,802,500","95.4%","4.6%","95.4%","61.4%","5.8%","0.7%","0.0%","0.0%","0.0%","0.0%","13.9%","1.8%","3.6%","3.3%","0.7%","1.2%","1.6%","1.6%","0.4%","0.1%","0.1%","0.1%","0.1%","13.2%","4.6%","0.7%","0.8%","1.3%","0.1%","","38,802,500","65.2%","7.0%","1.9%","15.8%","0.8%","14.3%","","38,802,500","38.6%","32.2%","0.5%","0.2%","5.6%","61.4%","38.3%","5.6%","0.3%","13.7%","0.4%","0.2%","2.9%","0.1%","2.7%","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,355,866","2,692,599","2,663,267","332,058","355,094","359,413","340,006","384,832","798,685","724,786","711,280","350,888","319,252","409,895","189,653","80,024","36.3","4,108,721","3,895,625","866,433","679,572","4,108,721","2,050,929","2,057,792","679,572","308,984","370,588","","5,355,866","5,171,538","184,328","5,171,538","4,520,381","215,446","55,784","4,687","575","9,769","3,864","157,958","27,379","29,727","13,804","9,443","24,801","18,374","34,430","6,679","2,872","845","1,085","1,877","215,290","184,328","36,234","43,001","38,365","6,496","","5,355,866","4,682,276","272,729","119,786","210,426","17,666","254,201","","5,355,866","1,135,107","835,543","28,603","7,417","263,544","4,220,759","3,686,726","205,894","30,777","155,985","6,092","7,508","127,777","4,508","123,269","2,276,280"
"    Percent","","5,355,866","50.3%","49.7%","6.2%","6.6%","6.7%","6.3%","7.2%","14.9%","13.5%","13.3%","6.6%","6.0%","7.7%","3.5%","1.5%","(X)","76.7%","72.7%","16.2%","12.7%","4,108,721","49.9%","50.1%","679,572","45.5%","54.5%","","5,355,866","96.6%","3.4%","96.6%","84.4%","4.0%","1.0%","0.1%","0.0%","0.2%","0.1%","2.9%","0.5%","0.6%","0.3%","0.2%","0.5%","0.3%","0.6%","0.1%","0.1%","0.0%","0.0%","0.0%","4.0%","3.4%","0.7%","0.8%","0.7%","0.1%","","5,355,866","87.4%","5.1%","2.2%","3.9%","0.3%","4.7%","","5,355,866","21.2%","15.6%","0.5%","0.1%","4.9%","78.8%","68.8%","3.8%","0.6%","2.9%","0.1%","0.1%","2.4%","0.1%","2.3%","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,596,677","1,754,116","1,842,561","188,862","207,901","232,018","251,879","244,199","438,421","441,421","549,077","267,359","220,012","304,711","164,489","86,328","40.5","2,821,801","2,666,584","680,462","555,528","2,821,801","1,358,421","1,463,380","555,528","239,351","316,177","","3,596,677","3,492,844","103,833","3,492,844","2,763,949","371,857","7,085","N","N","N","N","151,402","55,356","38,144","14,063","4,750","9,300","10,010","19,779","1,019","N","N","N","N","197,532","103,833","28,079","11,867","22,110","4,912","","3,596,677","2,849,268","420,760","31,803","181,568","3,159","223,064","","3,596,677","541,153","50,382","301,182","8,657","180,932","3,055,524","2,465,919","349,742","4,731","149,568","630","12,292","72,642","4,849","67,793","1,493,632"
"    Percent","","3,596,677","48.8%","51.2%","5.3%","5.8%","6.5%","7.0%","6.8%","12.2%","12.3%","15.3%","7.4%","6.1%","8.5%","4.6%","2.4%","(X)","78.5%","74.1%","18.9%","15.4%","2,821,801","48.1%","51.9%","555,528","43.1%","56.9%","","3,596,677","97.1%","2.9%","97.1%","76.8%","10.3%","0.2%","N","N","N","N","4.2%","1.5%","1.1%","0.4%","0.1%","0.3%","0.3%","0.5%","0.0%","N","N","N","N","5.5%","2.9%","0.8%","0.3%","0.6%","0.1%","","3,596,677","79.2%","11.7%","0.9%","5.0%","0.1%","6.2%","","3,596,677","15.0%","1.4%","8.4%","0.2%","5.0%","85.0%","68.6%","9.7%","0.1%","4.2%","0.0%","0.3%","2.0%","0.1%","1.9%","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","935,614","454,005","481,609","56,010","57,103","57,010","61,243","63,905","121,964","111,621","128,366","68,820","55,813","91,578","45,040","17,141","39.6","731,772","690,299","185,873","153,759","731,772","349,689","382,083","153,759","68,550","85,209","","935,614","911,497","24,117","911,497","647,533","203,326","3,284","N","N","N","N","36,172","14,324","9,529","4,201","308","2,546","1,496","3,768","216","N","N","N","N","20,966","24,117","13,071","2,368","2,355","838","","935,614","668,734","220,001","7,955","40,345","2,015","22,933","","935,614","83,326","32,524","31,350","2,339","17,113","852,288","594,488","197,763","2,817","36,038","216","1,556","19,410","206","19,204","417,413"
"    Percent","","935,614","48.5%","51.5%","6.0%","6.1%","6.1%","6.5%","6.8%","13.0%","11.9%","13.7%","7.4%","6.0%","9.8%","4.8%","1.8%","(X)","78.2%","73.8%","19.9%","16.4%","731,772","47.8%","52.2%","153,759","44.6%","55.4%","","935,614","97.4%","2.6%","97.4%","69.2%","21.7%","0.4%","N","N","N","N","3.9%","1.5%","1.0%","0.4%","0.0%","0.3%","0.2%","0.4%","0.0%","N","N","N","N","2.2%","2.6%","1.4%","0.3%","0.3%","0.1%","","935,614","71.5%","23.5%","0.9%","4.3%","0.2%","2.5%","","935,614","8.9%","3.5%","3.4%","0.2%","1.8%","91.1%","63.5%","21.1%","0.3%","3.9%","0.0%","0.2%","2.1%","0.0%","2.1%","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","658,893","312,633","346,260","42,763","31,038","25,729","37,343","58,809","150,211","92,877","76,790","36,171","32,697","41,946","22,375","10,144","33.8","543,863","509,791","93,599","74,465","543,863","254,366","289,497","74,465","30,148","44,317","","658,893","642,162","16,731","642,162","265,077","321,346","1,859","N","N","N","N","24,910","4,785","8,381","3,114","1,401","2,624","1,450","3,155","172","N","N","N","N","28,798","16,731","3,926","2,023","5,726","723","","658,893","278,978","328,170","6,512","32,607","774","30,422","","658,893","68,356","10,172","3,968","3,330","50,886","590,537","235,433","314,473","1,218","24,540","137","1,348","13,388","356","13,032","306,184"
"    Percent","","658,893","47.4%","52.6%","6.5%","4.7%","3.9%","5.7%","8.9%","22.8%","14.1%","11.7%","5.5%","5.0%","6.4%","3.4%","1.5%","(X)","82.5%","77.4%","14.2%","11.3%","543,863","46.8%","53.2%","74,465","40.5%","59.5%","","658,893","97.5%","2.5%","97.5%","40.2%","48.8%","0.3%","N","N","N","N","3.8%","0.7%","1.3%","0.5%","0.2%","0.4%","0.2%","0.5%","0.0%","N","N","N","N","4.4%","2.5%","0.6%","0.3%","0.9%","0.1%","","658,893","42.3%","49.8%","1.0%","4.9%","0.1%","4.6%","","658,893","10.4%","1.5%","0.6%","0.5%","7.7%","89.6%","35.7%","47.7%","0.2%","3.7%","0.0%","0.2%","2.0%","0.1%","2.0%","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,893,297","9,722,228","10,171,069","1,077,572","1,121,370","1,149,526","1,196,039","1,307,594","2,512,629","2,432,609","2,730,745","1,334,879","1,239,380","2,083,890","1,182,808","524,256","41.6","15,839,274","15,072,682","4,515,277","3,790,954","15,839,274","7,650,549","8,188,725","3,790,954","1,702,718","2,088,236","","19,893,297","19,417,492","475,805","19,417,492","15,113,860","3,221,160","53,014","8,932","555","435","778","524,583","138,235","92,112","93,397","13,939","33,838","80,104","72,958","15,149","4,262","4,453","1,748","4,686","489,726","475,805","154,913","67,840","85,999","11,540","","19,893,297","15,516,318","3,451,722","155,662","663,476","42,692","583,435","","19,893,297","4,788,870","693,483","1,006,542","1,392,605","1,696,240","15,104,427","11,055,931","3,083,879","38,726","517,141","13,361","59,892","335,497","18,750","316,747","9,144,650"
"    Percent","","19,893,297","48.9%","51.1%","5.4%","5.6%","5.8%","6.0%","6.6%","12.6%","12.2%","13.7%","6.7%","6.2%","10.5%","5.9%","2.6%","(X)","79.6%","75.8%","22.7%","19.1%","15,839,274","48.3%","51.7%","3,790,954","44.9%","55.1%","","19,893,297","97.6%","2.4%","97.6%","76.0%","16.2%","0.3%","0.0%","0.0%","0.0%","0.0%","2.6%","0.7%","0.5%","0.5%","0.1%","0.2%","0.4%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","2.5%","2.4%","0.8%","0.3%","0.4%","0.1%","","19,893,297","78.0%","17.4%","0.8%","3.3%","0.2%","2.9%","","19,893,297","24.1%","3.5%","5.1%","7.0%","8.5%","75.9%","55.6%","15.5%","0.2%","2.6%","0.1%","0.3%","1.7%","0.1%","1.6%","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","10,097,343","4,921,939","5,175,404","654,439","705,897","717,025","717,170","726,404","1,375,152","1,384,956","1,390,329","622,843","554,258","768,963","350,705","129,202","36.1","7,605,922","7,147,905","1,567,965","1,248,870","7,605,922","3,650,246","3,955,676","1,248,870","538,933","709,937","","10,097,343","9,894,040","203,303","9,894,040","6,043,917","3,163,620","25,301","5,644","119","424","203","371,688","117,321","57,506","22,903","9,003","56,819","53,658","54,478","6,638","1,120","533","1,571","3,414","282,876","203,303","73,126","29,255","35,311","7,747","","10,097,343","6,210,810","3,273,686","74,127","427,292","14,802","313,755","","10,097,343","922,115","557,780","89,462","28,543","246,330","9,175,228","5,474,262","3,116,136","16,968","370,080","6,338","22,687","168,757","6,197","162,560","4,151,387"
"    Percent","","10,097,343","48.7%","51.3%","6.5%","7.0%","7.1%","7.1%","7.2%","13.6%","13.7%","13.8%","6.2%","5.5%","7.6%","3.5%","1.3%","(X)","75.3%","70.8%","15.5%","12.4%","7,605,922","48.0%","52.0%","1,248,870","43.2%","56.8%","","10,097,343","98.0%","2.0%","98.0%","59.9%","31.3%","0.3%","0.1%","0.0%","0.0%","0.0%","3.7%","1.2%","0.6%","0.2%","0.1%","0.6%","0.5%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","2.8%","2.0%","0.7%","0.3%","0.3%","0.1%","","10,097,343","61.5%","32.4%","0.7%","4.2%","0.1%","3.1%","","10,097,343","9.1%","5.5%","0.9%","0.3%","2.4%","90.9%","54.2%","30.9%","0.2%","3.7%","0.1%","0.2%","1.7%","0.1%","1.6%","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
