"Column Name","Label"
"DP02_0005PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years"
"DP02_0006E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0006PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family"
"DP02_0007E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0007PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years"
"DP02_0008E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0008PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family"
"DP02_0009E","Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009PE","Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0009PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years"
"DP02_0010E","Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010PE","Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0010PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households"
"DP02_0011E","Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone"
"DP02_0011M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone"
"DP02_0011MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone"
"DP02_0011EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone"
"DP02_0011PE","Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone"
"DP02_0011PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone"
"DP02_0011PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone"
"DP02_0011PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone"
"DP02_0012E","Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over"
"DP02_0012EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over"
"DP02_0012M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over"
"DP02_0012MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over"
"DP02_0012PE","Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over"
"DP02_0012PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over"
"DP02_0012PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over"
"DP02_0012PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over"
"DP02_0013E","Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"DP02_0013EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"DP02_0013M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"DP02_0013MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"DP02_0013PE","Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"DP02_0013PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"DP02_0013PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"DP02_0013PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years"
"DP02_0014E","Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over"
"DP02_0014M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over"
"DP02_0014MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over"
"DP02_0014EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over"
"DP02_0014PE","Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over"
"DP02_0014PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over"
"DP02_0014PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over"
"DP02_0014PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over"
"DP02_0015E","Estimate!!HOUSEHOLDS BY TYPE!!Average household size"
"DP02_0015M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Average household size"
"DP02_0015MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Average household size"
"DP02_0015EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Average household size"
"DP02_0015PE","Percent!!HOUSEHOLDS BY TYPE!!Average household size"
"DP02_0015PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Average household size"
"DP02_0015PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Average household size"
"DP02_0015PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Average household size"
"DP02_0016E","Estimate!!HOUSEHOLDS BY TYPE!!Average family size"
"DP02_0016M","Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Average family size"
"DP02_0016MA","Annotation of Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Average family size"
"DP02_0016EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Average family size"
"DP02_0016PE","Percent!!HOUSEHOLDS BY TYPE!!Average family size"
"DP02_0016PEA","Annotation of Percent!!HOUSEHOLDS BY TYPE!!Average family size"
"DP02_0016PM","Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Average family size"
"DP02_0016PMA","Annotation of Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Average family size"
"DP02_0017E","Estimate!!RELATIONSHIP!!Population in households"
"DP02_0017EA","Annotation of Estimate!!RELATIONSHIP!!Population in households"
"DP02_0017M","Estimate Margin of Error!!RELATIONSHIP!!Population in households"
"DP02_0017MA","Annotation of Estimate Margin of Error!!RELATIONSHIP!!Population in households"
"DP02_0017PE","Percent!!RELATIONSHIP!!Population in households"
"DP02_0017PM","Percent Margin of Error!!RELATIONSHIP!!Population in households"
"DP02_0017PMA","Annotation of Percent Margin of Error!!RELATIONSHIP!!Population in households"
"DP02_0017PEA","Annotation of Percent!!RELATIONSHIP!!Population in households"
"DP02_0018E","Estimate!!RELATIONSHIP!!Householder"
"DP02_0018M","Estimate Margin of Error!!RELATIONSHIP!!Householder"
"DP02_0018MA","Annotation of Estimate Margin of Error!!RELATIONSHIP!!Householder"
"DP02_0018EA","Annotation of Estimate!!RELATIONSHIP!!Householder"
"DP02_0018PE","Percent!!RELATIONSHIP!!Householder"
"DP02_0018PM","Percent Margin of Error!!RELATIONSHIP!!Householder"
"DP02_0018PMA","Annotation of Percent Margin of Error!!RELATIONSHIP!!Householder"
"DP02_0018PEA","Annotation of Percent!!RELATIONSHIP!!Householder"
"DP02_0019E","Estimate!!RELATIONSHIP!!Spouse"
"DP02_0019M","Estimate Margin of Error!!RELATIONSHIP!!Spouse"
"DP02_0019MA","Annotation of Estimate Margin of Error!!RELATIONSHIP!!Spouse"
"DP02_0019EA","Annotation of Estimate!!RELATIONSHIP!!Spouse"
"DP02_0019PE","Percent!!RELATIONSHIP!!Spouse"
"DP02_0019PM","Percent Margin of Error!!RELATIONSHIP!!Spouse"
"DP02_0019PMA","Annotation of Percent Margin of Error!!RELATIONSHIP!!Spouse"
"DP02_0019PEA","Annotation of Percent!!RELATIONSHIP!!Spouse"
"DP02_0020E","Estimate!!RELATIONSHIP!!Child"
"DP02_0020M","Estimate Margin of Error!!RELATIONSHIP!!Child"
"DP02_0020MA","Annotation of Estimate Margin of Error!!RELATIONSHIP!!Child"
"DP02_0020EA","Annotation of Estimate!!RELATIONSHIP!!Child"
"DP02_0020PE","Percent!!RELATIONSHIP!!Child"
"DP02_0020PEA","Annotation of Percent!!RELATIONSHIP!!Child"
"DP02_0020PM","Percent Margin of Error!!RELATIONSHIP!!Child"
"DP02_0020PMA","Annotation of Percent Margin of Error!!RELATIONSHIP!!Child"
"DP02_0021E","Estimate!!RELATIONSHIP!!Other relatives"
"DP02_0021M","Estimate Margin of Error!!RELATIONSHIP!!Other relatives"
"DP02_0021MA","Annotation of Estimate Margin of Error!!RELATIONSHIP!!Other relatives"
"DP02_0021EA","Annotation of Estimate!!RELATIONSHIP!!Other relatives"
"DP02_0021PE","Percent!!RELATIONSHIP!!Other relatives"
"DP02_0021PM","Percent Margin of Error!!RELATIONSHIP!!Other relatives"
"DP02_0021PMA","Annotation of Percent Margin of Error!!RELATIONSHIP!!Other relatives"
"DP02_0021PEA","Annotation of Percent!!RELATIONSHIP!!Other relatives"
"DP02_0022E","Estimate!!RELATIONSHIP!!Nonrelatives"
"DP02_0022M","Estimate Margin of Error!!RELATIONSHIP!!Nonrelatives"
"DP02_0022MA","Annotation of Estimate Margin of Error!!RELATIONSHIP!!Nonrelatives"
"DP02_0022EA","Annotation of Estimate!!RELATIONSHIP!!Nonrelatives"
"DP02_0022PE","Percent!!RELATIONSHIP!!Nonrelatives"
"DP02_0022PEA","Annotation of Percent!!RELATIONSHIP!!Nonrelatives"
"DP02_0022PM","Percent Margin of Error!!RELATIONSHIP!!Nonrelatives"
"DP02_0022PMA","Annotation of Percent Margin of Error!!RELATIONSHIP!!Nonrelatives"
"DP02_0023E","Estimate!!RELATIONSHIP!!Nonrelatives!!Unmarried partner"
"DP02_0023EA","Annotation of Estimate!!RELATIONSHIP!!Nonrelatives!!Unmarried partner"
"DP02_0023M","Estimate Margin of Error!!RELATIONSHIP!!Nonrelatives!!Unmarried partner"
"DP02_0023MA","Annotation of Estimate Margin of Error!!RELATIONSHIP!!Nonrelatives!!Unmarried partner"
"DP02_0023PE","Percent!!RELATIONSHIP!!Nonrelatives!!Unmarried partner"
"DP02_0023PEA","Annotation of Percent!!RELATIONSHIP!!Nonrelatives!!Unmarried partner"
"DP02_0023PM","Percent Margin of Error!!RELATIONSHIP!!Nonrelatives!!Unmarried partner"
"DP02_0023PMA","Annotation of Percent Margin of Error!!RELATIONSHIP!!Nonrelatives!!Unmarried partner"
"DP02_0024E","Estimate!!MARITAL STATUS!!Males 15 years and over"
"DP02_0024M","Estimate Margin of Error!!MARITAL STATUS!!Males 15 years and over"
"DP02_0024MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Males 15 years and over"
"DP02_0024EA","Annotation of Estimate!!MARITAL STATUS!!Males 15 years and over"
"DP02_0024PE","Percent!!MARITAL STATUS!!Males 15 years and over"
"DP02_0024PEA","Annotation of Percent!!MARITAL STATUS!!Males 15 years and over"
"DP02_0024PM","Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over"
"DP02_0024PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Males 15 years and over"
"DP02_0025E","Estimate!!MARITAL STATUS!!Never married"
"DP02_0025M","Estimate Margin of Error!!MARITAL STATUS!!Never married"
"DP02_0025MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Never married"
"DP02_0025EA","Annotation of Estimate!!MARITAL STATUS!!Never married"
"DP02_0025PE","Percent!!MARITAL STATUS!!Never married"
"DP02_0025PEA","Annotation of Percent!!MARITAL STATUS!!Never married"
"DP02_0025PM","Percent Margin of Error!!MARITAL STATUS!!Never married"
"DP02_0025PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Never married"
"DP02_0026E","Estimate!!MARITAL STATUS!!Now married, except separated"
"DP02_0026M","Estimate Margin of Error!!MARITAL STATUS!!Now married, except separated"
"DP02_0026MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Now married, except separated"
"DP02_0026EA","Annotation of Estimate!!MARITAL STATUS!!Now married, except separated"
"DP02_0026PE","Percent!!MARITAL STATUS!!Now married, except separated"
"DP02_0026PM","Percent Margin of Error!!MARITAL STATUS!!Now married, except separated"
"DP02_0026PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Now married, except separated"
"DP02_0026PEA","Annotation of Percent!!MARITAL STATUS!!Now married, except separated"
"DP02_0027E","Estimate!!MARITAL STATUS!!Separated"
"DP02_0027EA","Annotation of Estimate!!MARITAL STATUS!!Separated"
"DP02_0027M","Estimate Margin of Error!!MARITAL STATUS!!Separated"
"DP02_0027MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Separated"
"DP02_0027PE","Percent!!MARITAL STATUS!!Separated"
"DP02_0027PM","Percent Margin of Error!!MARITAL STATUS!!Separated"
"DP02_0027PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Separated"
"DP02_0027PEA","Annotation of Percent!!MARITAL STATUS!!Separated"
"DP02_0028E","Estimate!!MARITAL STATUS!!Widowed"
"DP02_0028M","Estimate Margin of Error!!MARITAL STATUS!!Widowed"
"DP02_0028MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Widowed"
"DP02_0028EA","Annotation of Estimate!!MARITAL STATUS!!Widowed"
"DP02_0028PE","Percent!!MARITAL STATUS!!Widowed"
"DP02_0028PM","Percent Margin of Error!!MARITAL STATUS!!Widowed"
"DP02_0028PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Widowed"
"DP02_0028PEA","Annotation of Percent!!MARITAL STATUS!!Widowed"
"DP02_0029E","Estimate!!MARITAL STATUS!!Divorced"
"DP02_0029M","Estimate Margin of Error!!MARITAL STATUS!!Divorced"
"DP02_0029MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Divorced"
"DP02_0029EA","Annotation of Estimate!!MARITAL STATUS!!Divorced"
"DP02_0029PE","Percent!!MARITAL STATUS!!Divorced"
"DP02_0029PEA","Annotation of Percent!!MARITAL STATUS!!Divorced"
"DP02_0029PM","Percent Margin of Error!!MARITAL STATUS!!Divorced"
"DP02_0029PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Divorced"
"DP02_0030E","Estimate!!MARITAL STATUS!!Females 15 years and over"
"DP02_0030EA","Annotation of Estimate!!MARITAL STATUS!!Females 15 years and over"
"DP02_0030M","Estimate Margin of Error!!MARITAL STATUS!!Females 15 years and over"
"DP02_0030MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Females 15 years and over"
"DP02_0030PE","Percent!!MARITAL STATUS!!Females 15 years and over"
"DP02_0030PM","Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over"
"DP02_0030PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Females 15 years and over"
"DP02_0030PEA","Annotation of Percent!!MARITAL STATUS!!Females 15 years and over"
"DP02_0031E","Estimate!!MARITAL STATUS!!Never married"
"DP02_0031EA","Annotation of Estimate!!MARITAL STATUS!!Never married"
"DP02_0031M","Estimate Margin of Error!!MARITAL STATUS!!Never married"
"DP02_0031MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Never married"
"DP02_0031PE","Percent!!MARITAL STATUS!!Never married"
"DP02_0031PM","Percent Margin of Error!!MARITAL STATUS!!Never married"
"DP02_0031PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Never married"
"DP02_0031PEA","Annotation of Percent!!MARITAL STATUS!!Never married"
"DP02_0032E","Estimate!!MARITAL STATUS!!Now married, except separated"
"DP02_0032M","Estimate Margin of Error!!MARITAL STATUS!!Now married, except separated"
"DP02_0032MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Now married, except separated"
"DP02_0032EA","Annotation of Estimate!!MARITAL STATUS!!Now married, except separated"
"DP02_0032PE","Percent!!MARITAL STATUS!!Now married, except separated"
"DP02_0032PM","Percent Margin of Error!!MARITAL STATUS!!Now married, except separated"
"DP02_0032PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Now married, except separated"
"DP02_0032PEA","Annotation of Percent!!MARITAL STATUS!!Now married, except separated"
"DP02_0033E","Estimate!!MARITAL STATUS!!Separated"
"DP02_0033EA","Annotation of Estimate!!MARITAL STATUS!!Separated"
"DP02_0033M","Estimate Margin of Error!!MARITAL STATUS!!Separated"
"DP02_0033MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Separated"
"DP02_0033PE","Percent!!MARITAL STATUS!!Separated"
"DP02_0033PM","Percent Margin of Error!!MARITAL STATUS!!Separated"
"DP02_0033PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Separated"
"DP02_0033PEA","Annotation of Percent!!MARITAL STATUS!!Separated"
"DP02_0034E","Estimate!!MARITAL STATUS!!Widowed"
"DP02_0034M","Estimate Margin of Error!!MARITAL STATUS!!Widowed"
"DP02_0034MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Widowed"
"DP02_0034EA","Annotation of Estimate!!MARITAL STATUS!!Widowed"
"DP02_0034PE","Percent!!MARITAL STATUS!!Widowed"
"DP02_0034PM","Percent Margin of Error!!MARITAL STATUS!!Widowed"
"DP02_0034PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Widowed"
"DP02_0034PEA","Annotation of Percent!!MARITAL STATUS!!Widowed"
"DP02_0035E","Estimate!!MARITAL STATUS!!Divorced"
"DP02_0035EA","Annotation of Estimate!!MARITAL STATUS!!Divorced"
"DP02_0035M","Estimate Margin of Error!!MARITAL STATUS!!Divorced"
"DP02_0035MA","Annotation of Estimate Margin of Error!!MARITAL STATUS!!Divorced"
"DP02_0035PE","Percent!!MARITAL STATUS!!Divorced"
"DP02_0035PM","Percent Margin of Error!!MARITAL STATUS!!Divorced"
"DP02_0035PMA","Annotation of Percent Margin of Error!!MARITAL STATUS!!Divorced"
"DP02_0035PEA","Annotation of Percent!!MARITAL STATUS!!Divorced"
"DP02_0036E","Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0036M","Estimate Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0036MA","Annotation of Estimate Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0036EA","Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0036PE","Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0036PEA","Annotation of Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0036PM","Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0036PMA","Annotation of Percent Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months"
"DP02_0037E","Estimate!!FERTILITY!!Unmarried women (widowed, divorced, and never married)"
"DP02_0037EA","Annotation of Estimate!!FERTILITY!!Unmarried women (widowed, divorced, and never married)"
"DP02_0037M","Estimate Margin of Error!!FERTILITY!!Unmarried women (widowed, divorced, and never married)"
"DP02_0037MA","Annotation of Estimate Margin of Error!!FERTILITY!!Unmarried women (widowed, divorced, and never married)"
"DP02_0037PE","Percent!!FERTILITY!!Unmarried women (widowed, divorced, and never married)"
"DP02_0037PM","Percent Margin of Error!!FERTILITY!!Unmarried women (widowed, divorced, and never married)"
"DP02_0037PMA","Annotation of Percent Margin of Error!!FERTILITY!!Unmarried women (widowed, divorced, and never married)"
"DP02_0037PEA","Annotation of Percent!!FERTILITY!!Unmarried women (widowed, divorced, and never married)"
