"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Percent","","19,552,860","48.9%","51.1%","5.5%","5.6%","5.9%","6.1%","6.7%","12.5%","12.3%","13.9%","6.8%","6.1%","10.2%","5.9%","2.5%","(X)","79.4%","75.4%","22.2%","18.6%","15,524,130","48.3%","51.7%","3,644,283","44.8%","55.2%","","19,552,860","97.7%","2.3%","97.7%","76.2%","16.1%","0.3%","0.0%","0.0%","0.0%","0.0%","2.6%","0.8%","0.5%","0.5%","0.1%","0.1%","0.3%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","2.5%","2.3%","0.8%","0.3%","0.4%","0.1%","","19,552,860","78.1%","17.3%","0.8%","3.3%","0.1%","3.0%","","19,552,860","23.6%","3.3%","5.1%","6.9%","8.4%","76.4%","56.2%","15.4%","0.2%","2.6%","0.0%","0.3%","1.6%","0.1%","1.5%","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,992,167","4,879,034","5,113,133","657,016","706,117","712,651","718,559","725,652","1,347,160","1,391,341","1,384,531","626,711","531,656","726,904","341,781","122,088","35.9","7,501,786","7,050,055","1,502,089","1,190,773","7,501,786","3,607,292","3,894,494","1,190,773","513,601","677,172","","9,992,167","9,781,324","210,843","9,781,324","6,035,159","3,095,976","21,692","7,071","575","144","188","355,900","101,822","53,771","20,545","8,494","53,070","51,845","66,353","3,639","1,490","716","389","1,044","268,958","210,843","80,882","26,882","32,484","8,387","","9,992,167","6,208,527","3,216,618","71,533","410,259","12,314","302,598","","9,992,167","907,400","553,429","84,446","37,506","232,019","9,084,767","5,454,931","3,050,004","17,488","354,384","3,297","28,871","175,792","9,766","166,026","4,110,162"
"    Percent","","9,992,167","48.8%","51.2%","6.6%","7.1%","7.1%","7.2%","7.3%","13.5%","13.9%","13.9%","6.3%","5.3%","7.3%","3.4%","1.2%","(X)","75.1%","70.6%","15.0%","11.9%","7,501,786","48.1%","51.9%","1,190,773","43.1%","56.9%","","9,992,167","97.9%","2.1%","97.9%","60.4%","31.0%","0.2%","0.1%","0.0%","0.0%","0.0%","3.6%","1.0%","0.5%","0.2%","0.1%","0.5%","0.5%","0.7%","0.0%","0.0%","0.0%","0.0%","0.0%","2.7%","2.1%","0.8%","0.3%","0.3%","0.1%","","9,992,167","62.1%","32.2%","0.7%","4.1%","0.1%","3.0%","","9,992,167","9.1%","5.5%","0.8%","0.4%","2.3%","90.9%","54.6%","30.5%","0.2%","3.5%","0.0%","0.3%","1.8%","0.1%","1.7%","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,404,054","710,917","693,137","90,706","81,291","86,759","80,269","105,126","204,167","177,174","180,050","93,804","84,600","120,992","63,754","35,362","38.1","1,096,828","1,047,198","266,707","220,108","1,096,828","552,184","544,644","220,108","97,997","122,111","","1,404,054","1,074,037","330,017","1,074,037","358,977","30,306","2,272","N","N","N","N","531,218","1,593","55,257","194,151","190,633","21,865","13,817","53,902","137,256","89,704","2,845","13,976","30,731","14,008","330,017","3,442","8,461","67,210","1,688","","1,404,054","597,324","50,802","32,783","783,648","361,467","38,812","","1,404,054","138,064","39,850","52,481","2,505","43,228","1,265,990","322,726","27,834","1,727","518,976","125,836","699","268,192","2,605","265,587","526,305"
"    Percent","","1,404,054","50.6%","49.4%","6.5%","5.8%","6.2%","5.7%","7.5%","14.5%","12.6%","12.8%","6.7%","6.0%","8.6%","4.5%","2.5%","(X)","78.1%","74.6%","19.0%","15.7%","1,096,828","50.3%","49.7%","220,108","44.5%","55.5%","","1,404,054","76.5%","23.5%","76.5%","25.6%","2.2%","0.2%","N","N","N","N","37.8%","0.1%","3.9%","13.8%","13.6%","1.6%","1.0%","3.8%","9.8%","6.4%","0.2%","1.0%","2.2%","1.0%","23.5%","0.2%","0.6%","4.8%","0.1%","","1,404,054","42.5%","3.6%","2.3%","55.8%","25.7%","2.8%","","1,404,054","9.8%","2.8%","3.7%","0.2%","3.1%","90.2%","23.0%","2.0%","0.1%","37.0%","9.0%","0.0%","19.1%","0.2%","18.9%","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,612,136","810,879","801,257","111,239","121,323","124,215","114,038","114,432","207,643","195,107","204,069","102,322","94,644","131,115","66,994","24,995","35.7","1,185,282","1,114,895","276,475","223,104","1,185,282","588,418","596,864","223,104","104,172","118,932","","1,612,136","1,573,390","38,746","1,573,390","1,475,631","9,097","19,800","1,488","404","484","1,495","24,845","3,272","3,722","4,323","3,669","2,721","1,727","5,411","1,818","352","801","0","665","42,199","38,746","4,494","15,166","7,406","1,514","","1,612,136","1,510,664","16,909","38,992","34,241","3,979","48,564","","1,612,136","190,250","166,081","2,324","890","20,955","1,421,886","1,340,870","8,532","16,578","24,343","1,558","430","29,575","1,037","28,538","676,192"
"    Percent","","1,612,136","50.3%","49.7%","6.9%","7.5%","7.7%","7.1%","7.1%","12.9%","12.1%","12.7%","6.3%","5.9%","8.1%","4.2%","1.6%","(X)","73.5%","69.2%","17.1%","13.8%","1,185,282","49.6%","50.4%","223,104","46.7%","53.3%","","1,612,136","97.6%","2.4%","97.6%","91.5%","0.6%","1.2%","0.1%","0.0%","0.0%","0.1%","1.5%","0.2%","0.2%","0.3%","0.2%","0.2%","0.1%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","2.4%","0.3%","0.9%","0.5%","0.1%","","1,612,136","93.7%","1.0%","2.4%","2.1%","0.2%","3.0%","","1,612,136","11.8%","10.3%","0.1%","0.1%","1.3%","88.2%","83.2%","0.5%","1.0%","1.5%","0.1%","0.0%","1.8%","0.1%","1.8%","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,882,135","6,326,778","6,555,357","797,089","838,981","861,781","881,283","909,336","1,779,710","1,689,992","1,793,296","860,282","730,297","962,413","526,104","251,571","37.2","9,859,980","9,311,547","2,156,501","1,740,088","9,859,980","4,781,706","5,078,274","1,740,088","746,355","993,733","","12,882,135","12,592,773","289,362","12,592,773","9,362,416","1,833,560","25,575","3,929","1,614","286","874","635,385","201,134","123,953","126,770","17,563","67,758","23,281","74,926","3,660","1,266","777","417","1,200","732,177","289,362","92,067","37,380","62,847","10,985","","12,882,135","9,607,581","1,966,540","90,532","721,358","14,844","791,021","","12,882,135","2,118,514","1,684,129","196,359","27,879","210,147","10,763,621","8,073,211","1,806,889","13,355","631,214","2,911","19,081","216,960","10,810","206,150","5,289,653"
"    Percent","","12,882,135","49.1%","50.9%","6.2%","6.5%","6.7%","6.8%","7.1%","13.8%","13.1%","13.9%","6.7%","5.7%","7.5%","4.1%","2.0%","(X)","76.5%","72.3%","16.7%","13.5%","9,859,980","48.5%","51.5%","1,740,088","42.9%","57.1%","","12,882,135","97.8%","2.2%","97.8%","72.7%","14.2%","0.2%","0.0%","0.0%","0.0%","0.0%","4.9%","1.6%","1.0%","1.0%","0.1%","0.5%","0.2%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","5.7%","2.2%","0.7%","0.3%","0.5%","0.1%","","12,882,135","74.6%","15.3%","0.7%","5.6%","0.1%","6.1%","","12,882,135","16.4%","13.1%","1.5%","0.2%","1.6%","83.6%","62.7%","14.0%","0.1%","4.9%","0.0%","0.1%","1.7%","0.1%","1.6%","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,570,902","3,228,884","3,342,018","424,064","446,461","448,783","455,247","483,455","840,482","826,166","902,635","448,355","379,421","516,472","269,340","130,021","37.3","4,983,360","4,691,686","1,136,076","915,833","4,983,360","2,417,934","2,565,426","915,833","396,601","519,232","","6,570,902","6,428,051","142,851","6,428,051","5,529,595","603,521","14,146","3,757","268","536","675","116,856","34,972","26,916","10,693","6,196","10,901","5,095","22,083","2,703","487","576","1,055","585","161,230","142,851","58,187","30,577","20,719","2,675","","6,570,902","5,660,014","675,350","54,687","145,535","6,958","180,376","","6,570,902","420,577","317,159","37,055","7,192","59,171","6,150,325","5,295,482","594,384","10,999","115,937","2,304","10,707","120,512","2,989","117,523","2,809,640"
"    Percent","","6,570,902","49.1%","50.9%","6.5%","6.8%","6.8%","6.9%","7.4%","12.8%","12.6%","13.7%","6.8%","5.8%","7.9%","4.1%","2.0%","(X)","75.8%","71.4%","17.3%","13.9%","4,983,360","48.5%","51.5%","915,833","43.3%","56.7%","","6,570,902","97.8%","2.2%","97.8%","84.2%","9.2%","0.2%","0.1%","0.0%","0.0%","0.0%","1.8%","0.5%","0.4%","0.2%","0.1%","0.2%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","2.5%","2.2%","0.9%","0.5%","0.3%","0.0%","","6,570,902","86.1%","10.3%","0.8%","2.2%","0.1%","2.7%","","6,570,902","6.4%","4.8%","0.6%","0.1%","0.9%","93.6%","80.6%","9.0%","0.2%","1.8%","0.0%","0.2%","1.8%","0.0%","1.8%","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,090,416","1,528,770","1,561,646","193,077","208,901","196,946","216,626","226,596","389,750","363,546","413,491","211,617","190,241","248,503","150,172","80,950","38.0","2,366,950","2,223,441","586,649","479,625","2,366,950","1,158,473","1,208,477","479,625","209,172","270,453","","3,090,416","3,037,580","52,836","3,037,580","2,823,908","102,430","7,630","696","424","183","966","63,431","14,989","14,215","4,403","2,447","5,571","6,900","14,906","1,640","229","7","130","1,274","38,541","52,836","19,885","12,182","8,653","1,207","","3,090,416","2,872,646","127,527","22,784","74,354","3,227","45,930","","3,090,416","166,925","130,976","6,578","1,317","28,054","2,923,491","2,704,424","100,538","6,770","62,810","1,542","3,739","43,668","1,305","42,363","1,349,607"
"    Percent","","3,090,416","49.5%","50.5%","6.2%","6.8%","6.4%","7.0%","7.3%","12.6%","11.8%","13.4%","6.8%","6.2%","8.0%","4.9%","2.6%","(X)","76.6%","71.9%","19.0%","15.5%","2,366,950","48.9%","51.1%","479,625","43.6%","56.4%","","3,090,416","98.3%","1.7%","98.3%","91.4%","3.3%","0.2%","0.0%","0.0%","0.0%","0.0%","2.1%","0.5%","0.5%","0.1%","0.1%","0.2%","0.2%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","1.2%","1.7%","0.6%","0.4%","0.3%","0.0%","","3,090,416","93.0%","4.1%","0.7%","2.4%","0.1%","1.5%","","3,090,416","5.4%","4.2%","0.2%","0.0%","0.9%","94.6%","87.5%","3.3%","0.2%","2.0%","0.0%","0.1%","1.4%","0.0%","1.4%","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,893,957","1,440,481","1,453,476","199,304","204,847","198,878","205,962","212,521","387,558","347,137","373,474","192,109","165,942","216,907","125,610","63,708","36.0","2,173,415","2,041,970","499,462","406,225","2,173,415","1,070,902","1,102,513","406,225","176,695","229,530","","2,893,957","2,798,389","95,568","2,798,389","2,476,030","168,246","24,238","5,979","238","398","619","73,219","12,212","12,639","5,505","2,107","5,910","16,257","18,589","1,416","42","683","463","228","55,240","95,568","28,894","32,283","13,252","1,943","","2,893,957","2,565,215","206,702","63,602","91,992","3,679","65,846","","2,893,957","322,424","270,290","11,679","5,323","35,132","2,571,533","2,229,934","165,409","19,727","72,896","1,371","1,967","80,229","2,129","78,100","1,239,755"
"    Percent","","2,893,957","49.8%","50.2%","6.9%","7.1%","6.9%","7.1%","7.3%","13.4%","12.0%","12.9%","6.6%","5.7%","7.5%","4.3%","2.2%","(X)","75.1%","70.6%","17.3%","14.0%","2,173,415","49.3%","50.7%","406,225","43.5%","56.5%","","2,893,957","96.7%","3.3%","96.7%","85.6%","5.8%","0.8%","0.2%","0.0%","0.0%","0.0%","2.5%","0.4%","0.4%","0.2%","0.1%","0.2%","0.6%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","1.9%","3.3%","1.0%","1.1%","0.5%","0.1%","","2,893,957","88.6%","7.1%","2.2%","3.2%","0.1%","2.3%","","2,893,957","11.1%","9.3%","0.4%","0.2%","1.2%","88.9%","77.1%","5.7%","0.7%","2.5%","0.0%","0.1%","2.8%","0.1%","2.7%","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,395,295","2,163,067","2,232,228","271,837","280,987","294,006","289,578","305,234","564,634","565,930","615,725","301,860","269,446","370,654","188,945","76,459","38.5","3,380,710","3,189,909","793,121","636,058","3,380,710","1,642,437","1,738,273","636,058","277,784","358,274","","4,395,295","4,307,566","87,729","4,307,566","3,854,574","350,164","7,434","2,645","573","0","338","53,187","11,285","9,983","3,933","5,691","4,248","4,224","13,823","2,130","1,578","196","146","210","40,077","87,729","39,740","16,381","11,866","2,504","","4,395,295","3,933,038","401,053","28,417","69,887","5,409","50,313","","4,395,295","143,091","88,521","14,229","11,953","28,388","4,252,204","3,765,523","345,918","6,309","53,042","1,900","2,598","76,914","2,862","74,052","1,936,634"
"    Percent","","4,395,295","49.2%","50.8%","6.2%","6.4%","6.7%","6.6%","6.9%","12.8%","12.9%","14.0%","6.9%","6.1%","8.4%","4.3%","1.7%","(X)","76.9%","72.6%","18.0%","14.5%","3,380,710","48.6%","51.4%","636,058","43.7%","56.3%","","4,395,295","98.0%","2.0%","98.0%","87.7%","8.0%","0.2%","0.1%","0.0%","0.0%","0.0%","1.2%","0.3%","0.2%","0.1%","0.1%","0.1%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.9%","2.0%","0.9%","0.4%","0.3%","0.1%","","4,395,295","89.5%","9.1%","0.6%","1.6%","0.1%","1.1%","","4,395,295","3.3%","2.0%","0.3%","0.3%","0.6%","96.7%","85.7%","7.9%","0.1%","1.2%","0.0%","0.1%","1.7%","0.1%","1.7%","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,625,470","2,256,464","2,369,006","304,998","323,009","306,063","305,228","351,199","659,092","565,847","620,965","315,267","266,844","351,389","186,027","69,542","36.0","3,512,796","3,311,231","757,835","606,958","3,512,796","1,694,822","1,817,974","606,958","263,253","343,705","","4,625,470","4,547,549","77,921","4,547,549","2,907,296","1,492,915","27,412","N","N","N","N","74,227","13,027","10,791","8,525","1,405","4,064","26,765","9,650","673","N","N","N","N","45,026","77,921","28,769","18,595","8,618","5,342","","4,625,470","2,974,256","1,535,429","56,586","87,512","2,826","53,722","","4,625,470","218,620","90,898","16,208","12,805","98,709","4,406,850","2,753,492","1,484,931","24,664","73,672","673","4,403","65,015","1,883","63,132","1,990,967"
"    Percent","","4,625,470","48.8%","51.2%","6.6%","7.0%","6.6%","6.6%","7.6%","14.2%","12.2%","13.4%","6.8%","5.8%","7.6%","4.0%","1.5%","(X)","75.9%","71.6%","16.4%","13.1%","3,512,796","48.2%","51.8%","606,958","43.4%","56.6%","","4,625,470","98.3%","1.7%","98.3%","62.9%","32.3%","0.6%","N","N","N","N","1.6%","0.3%","0.2%","0.2%","0.0%","0.1%","0.6%","0.2%","0.0%","N","N","N","N","1.0%","1.7%","0.6%","0.4%","0.2%","0.1%","","4,625,470","64.3%","33.2%","1.2%","1.9%","0.1%","1.2%","","4,625,470","4.7%","2.0%","0.4%","0.3%","2.1%","95.3%","59.5%","32.1%","0.5%","1.6%","0.0%","0.1%","1.4%","0.0%","1.4%","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,328,302","649,994","678,308","64,177","70,496","76,511","82,972","80,184","150,177","157,792","205,099","107,438","97,472","133,206","73,525","29,253","44.0","1,067,967","1,014,950","292,634","235,984","1,067,967","516,564","551,403","235,984","106,248","129,736","","1,328,302","1,300,468","27,834","1,300,468","1,260,470","13,617","8,242","N","N","N","N","14,059","2,788","2,965","2,557","355","1,448","1,389","2,557","269","N","N","N","N","3,811","27,834","5,926","14,587","4,982","102","","1,328,302","1,287,835","20,508","23,952","19,760","737","4,627","","1,328,302","18,432","6,225","4,322","329","7,556","1,309,870","1,247,425","13,056","8,123","13,479","265","1,092","26,430","178","26,252","723,140"
"    Percent","","1,328,302","48.9%","51.1%","4.8%","5.3%","5.8%","6.2%","6.0%","11.3%","11.9%","15.4%","8.1%","7.3%","10.0%","5.5%","2.2%","(X)","80.4%","76.4%","22.0%","17.8%","1,067,967","48.4%","51.6%","235,984","45.0%","55.0%","","1,328,302","97.9%","2.1%","97.9%","94.9%","1.0%","0.6%","N","N","N","N","1.1%","0.2%","0.2%","0.2%","0.0%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","0.3%","2.1%","0.4%","1.1%","0.4%","0.0%","","1,328,302","97.0%","1.5%","1.8%","1.5%","0.1%","0.3%","","1,328,302","1.4%","0.5%","0.3%","0.0%","0.6%","98.6%","93.9%","1.0%","0.6%","1.0%","0.0%","0.1%","2.0%","0.0%","2.0%","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,928,814","2,875,157","3,053,657","366,712","368,111","379,785","390,955","404,550","815,577","768,746","889,419","404,871","346,220","455,135","229,812","108,921","38.2","4,584,357","4,344,800","991,861","793,868","4,584,357","2,189,618","2,394,739","793,868","340,378","453,490","","5,928,814","5,759,354","169,460","5,759,354","3,416,335","1,754,964","17,230","1,796","393","343","298","354,430","79,072","78,948","52,322","6,248","50,794","24,393","62,653","3,053","961","481","476","1,135","213,342","169,460","51,928","16,356","41,588","9,793","","5,928,814","3,553,697","1,846,094","58,364","416,244","10,016","234,732","","5,928,814","531,749","94,785","51,153","13,334","372,477","5,397,065","3,152,100","1,727,400","14,147","350,176","2,588","13,703","136,951","4,361","132,590","2,404,177"
"    Percent","","5,928,814","48.5%","51.5%","6.2%","6.2%","6.4%","6.6%","6.8%","13.8%","13.0%","15.0%","6.8%","5.8%","7.7%","3.9%","1.8%","(X)","77.3%","73.3%","16.7%","13.4%","4,584,357","47.8%","52.2%","793,868","42.9%","57.1%","","5,928,814","97.1%","2.9%","97.1%","57.6%","29.6%","0.3%","0.0%","0.0%","0.0%","0.0%","6.0%","1.3%","1.3%","0.9%","0.1%","0.9%","0.4%","1.1%","0.1%","0.0%","0.0%","0.0%","0.0%","3.6%","2.9%","0.9%","0.3%","0.7%","0.2%","","5,928,814","59.9%","31.1%","1.0%","7.0%","0.2%","4.0%","","5,928,814","9.0%","1.6%","0.9%","0.2%","6.3%","91.0%","53.2%","29.1%","0.2%","5.9%","0.0%","0.2%","2.3%","0.1%","2.2%","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,692,824","3,245,774","3,447,050","363,925","379,569","399,540","457,871","487,124","909,352","844,416","995,512","473,361","392,057","538,523","296,679","154,895","39.4","5,299,869","4,989,953","1,218,465","990,097","5,299,869","2,531,628","2,768,241","990,097","422,209","567,888","","6,692,824","6,494,209","198,615","6,494,209","5,330,381","474,427","13,958","N","N","N","N","388,317","83,026","141,477","12,458","12,364","26,894","41,773","70,325","1,557","663","388","95","411","285,569","198,615","81,604","19,169","40,494","5,625","","6,692,824","5,503,528","581,224","45,461","444,537","8,775","321,284","","6,692,824","703,679","40,899","283,568","15,636","363,576","5,989,145","4,995,261","429,760","8,690","386,018","1,329","34,202","133,885","16,086","117,799","2,813,641"
"    Percent","","6,692,824","48.5%","51.5%","5.4%","5.7%","6.0%","6.8%","7.3%","13.6%","12.6%","14.9%","7.1%","5.9%","8.0%","4.4%","2.3%","(X)","79.2%","74.6%","18.2%","14.8%","5,299,869","47.8%","52.2%","990,097","42.6%","57.4%","","6,692,824","97.0%","3.0%","97.0%","79.6%","7.1%","0.2%","N","N","N","N","5.8%","1.2%","2.1%","0.2%","0.2%","0.4%","0.6%","1.1%","0.0%","0.0%","0.0%","0.0%","0.0%","4.3%","3.0%","1.2%","0.3%","0.6%","0.1%","","6,692,824","82.2%","8.7%","0.7%","6.6%","0.1%","4.8%","","6,692,824","10.5%","0.6%","4.2%","0.2%","5.4%","89.5%","74.6%","6.4%","0.1%","5.8%","0.0%","0.5%","2.0%","0.2%","1.8%","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,895,622","4,858,138","5,037,484","570,303","621,207","644,396","691,280","723,141","1,180,523","1,209,103","1,419,883","730,583","618,420","835,625","446,271","204,887","39.6","7,651,883","7,213,882","1,845,229","1,486,783","7,651,883","3,708,170","3,943,713","1,486,783","654,585","832,198","","9,895,622","9,629,773","265,849","9,629,773","7,829,056","1,378,237","53,720","4,297","20,159","297","1,215","266,406","86,295","51,895","26,009","12,878","25,306","18,121","45,902","2,267","586","168","689","824","100,087","265,849","91,632","67,785","38,709","13,372","","9,895,622","8,063,753","1,510,277","152,669","320,901","9,385","125,189","","9,895,622","465,419","338,081","47,316","12,288","67,734","9,430,203","7,514,628","1,361,251","45,590","265,437","2,091","10,516","230,690","6,223","224,467","4,525,266"
"    Percent","","9,895,622","49.1%","50.9%","5.8%","6.3%","6.5%","7.0%","7.3%","11.9%","12.2%","14.3%","7.4%","6.2%","8.4%","4.5%","2.1%","(X)","77.3%","72.9%","18.6%","15.0%","7,651,883","48.5%","51.5%","1,486,783","44.0%","56.0%","","9,895,622","97.3%","2.7%","97.3%","79.1%","13.9%","0.5%","0.0%","0.2%","0.0%","0.0%","2.7%","0.9%","0.5%","0.3%","0.1%","0.3%","0.2%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","1.0%","2.7%","0.9%","0.7%","0.4%","0.1%","","9,895,622","81.5%","15.3%","1.5%","3.2%","0.1%","1.3%","","9,895,622","4.7%","3.4%","0.5%","0.1%","0.7%","95.3%","75.9%","13.8%","0.5%","2.7%","0.0%","0.1%","2.3%","0.1%","2.3%","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
