"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","2,949,131","1,449,265","1,499,866","191,656","205,513","197,994","198,127","206,459","379,413","368,925","395,856","193,691","170,390","252,886","137,043","51,178","37.6","2,237,502","2,109,845","540,881","441,107","2,237,502","1,081,741","1,155,761","441,107","193,923","247,184","","2,949,131","2,891,152","57,979","2,891,152","2,307,951","462,182","17,485","N","N","N","N","39,448","12,093","5,319","5,806","532","1,473","5,693","8,532","5,221","N","N","N","N","58,865","57,979","12,958","27,703","5,881","674","","2,949,131","2,362,575","480,360","49,660","47,505","7,304","63,753","","2,949,131","197,865","153,351","4,942","1,037","38,535","2,751,266","2,179,168","458,695","16,106","38,877","5,221","2,163","51,036","534","50,502","1,328,225"
"    Percent","","2,949,131","49.1%","50.9%","6.5%","7.0%","6.7%","6.7%","7.0%","12.9%","12.5%","13.4%","6.6%","5.8%","8.6%","4.6%","1.7%","(X)","75.9%","71.5%","18.3%","15.0%","2,237,502","48.3%","51.7%","441,107","44.0%","56.0%","","2,949,131","98.0%","2.0%","98.0%","78.3%","15.7%","0.6%","N","N","N","N","1.3%","0.4%","0.2%","0.2%","0.0%","0.0%","0.2%","0.3%","0.2%","N","N","N","N","2.0%","2.0%","0.4%","0.9%","0.2%","0.0%","","2,949,131","80.1%","16.3%","1.7%","1.6%","0.2%","2.2%","","2,949,131","6.7%","5.2%","0.2%","0.0%","1.3%","93.3%","73.9%","15.6%","0.5%","1.3%","0.2%","0.1%","1.7%","0.0%","1.7%","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","38,041,430","18,917,773","19,123,657","2,536,810","2,536,490","2,552,120","2,718,832","2,917,394","5,474,318","5,175,188","5,227,892","2,331,466","1,971,527","2,537,154","1,412,311","649,928","35.5","28,802,124","27,080,713","5,736,528","4,599,393","28,802,124","14,192,689","14,609,435","4,599,393","2,018,457","2,580,936","","38,041,430","36,357,570","1,683,860","36,357,570","23,628,545","2,263,723","285,342","22,786","2,235","8,701","4,172","5,120,354","584,795","1,354,441","1,223,822","269,105","469,136","624,799","594,256","146,712","21,008","24,629","36,204","64,871","4,912,894","1,683,860","223,348","266,537","453,583","44,600","","38,041,430","25,004,041","2,698,776","710,007","5,827,368","301,700","5,346,248","","38,041,430","14,537,661","12,106,221","205,054","92,783","2,133,603","23,503,769","14,904,055","2,150,453","145,112","5,047,744","137,403","83,285","1,035,717","57,330","978,387","13,708,197"
"    Percent","","38,041,430","49.7%","50.3%","6.7%","6.7%","6.7%","7.1%","7.7%","14.4%","13.6%","13.7%","6.1%","5.2%","6.7%","3.7%","1.7%","(X)","75.7%","71.2%","15.1%","12.1%","28,802,124","49.3%","50.7%","4,599,393","43.9%","56.1%","","38,041,430","95.6%","4.4%","95.6%","62.1%","6.0%","0.8%","0.1%","0.0%","0.0%","0.0%","13.5%","1.5%","3.6%","3.2%","0.7%","1.2%","1.6%","1.6%","0.4%","0.1%","0.1%","0.1%","0.2%","12.9%","4.4%","0.6%","0.7%","1.2%","0.1%","","38,041,430","65.7%","7.1%","1.9%","15.3%","0.8%","14.1%","","38,041,430","38.2%","31.8%","0.5%","0.2%","5.6%","61.8%","39.2%","5.7%","0.4%","13.3%","0.4%","0.2%","2.7%","0.2%","2.6%","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,187,582","2,601,370","2,586,212","336,995","359,636","338,559","342,417","365,321","756,564","708,732","725,667","352,012","290,740","358,156","179,359","73,424","36.2","3,956,275","3,736,783","779,638","610,939","3,956,275","1,972,797","1,983,478","610,939","273,851","337,088","","5,187,582","5,014,869","172,713","5,014,869","4,376,673","218,292","47,949","4,234","1,433","8,028","2,973","147,082","21,720","29,866","12,753","12,748","17,831","22,558","29,606","5,308","1,534","1,419","1,184","1,171","219,565","172,713","28,043","42,317","37,736","2,896","","5,187,582","4,527,141","264,690","103,105","200,532","13,755","262,683","","5,187,582","1,088,742","816,095","33,176","9,053","230,418","4,098,840","3,599,838","204,851","29,779","144,241","4,730","7,364","108,037","2,650","105,387","2,230,536"
"    Percent","","5,187,582","50.1%","49.9%","6.5%","6.9%","6.5%","6.6%","7.0%","14.6%","13.7%","14.0%","6.8%","5.6%","6.9%","3.5%","1.4%","(X)","76.3%","72.0%","15.0%","11.8%","3,956,275","49.9%","50.1%","610,939","44.8%","55.2%","","5,187,582","96.7%","3.3%","96.7%","84.4%","4.2%","0.9%","0.1%","0.0%","0.2%","0.1%","2.8%","0.4%","0.6%","0.2%","0.2%","0.3%","0.4%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","4.2%","3.3%","0.5%","0.8%","0.7%","0.1%","","5,187,582","87.3%","5.1%","2.0%","3.9%","0.3%","5.1%","","5,187,582","21.0%","15.7%","0.6%","0.2%","4.4%","79.0%","69.4%","3.9%","0.6%","2.8%","0.1%","0.1%","2.1%","0.1%","2.0%","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,590,347","1,749,806","1,840,541","193,070","216,202","235,401","257,301","230,395","432,609","458,041","567,053","255,006","213,245","281,784","164,271","85,969","40.4","2,797,581","2,637,741","658,060","532,024","2,797,581","1,344,132","1,453,449","532,024","226,464","305,560","","3,590,347","3,496,463","93,884","3,496,463","2,804,972","366,350","11,627","N","N","N","N","147,830","49,032","34,976","11,248","4,810","9,652","9,595","28,517","2,261","N","N","N","N","163,423","93,884","32,544","10,319","15,000","4,210","","3,590,347","2,881,623","417,627","30,459","169,775","4,969","186,897","","3,590,347","510,647","52,845","274,390","10,382","173,030","3,079,700","2,512,773","339,063","6,099","146,701","2,233","10,714","62,117","4,359","57,758","1,488,002"
"    Percent","","3,590,347","48.7%","51.3%","5.4%","6.0%","6.6%","7.2%","6.4%","12.0%","12.8%","15.8%","7.1%","5.9%","7.8%","4.6%","2.4%","(X)","77.9%","73.5%","18.3%","14.8%","2,797,581","48.0%","52.0%","532,024","42.6%","57.4%","","3,590,347","97.4%","2.6%","97.4%","78.1%","10.2%","0.3%","N","N","N","N","4.1%","1.4%","1.0%","0.3%","0.1%","0.3%","0.3%","0.8%","0.1%","N","N","N","N","4.6%","2.6%","0.9%","0.3%","0.4%","0.1%","","3,590,347","80.3%","11.6%","0.8%","4.7%","0.1%","5.2%","","3,590,347","14.2%","1.5%","7.6%","0.3%","4.8%","85.8%","70.0%","9.4%","0.2%","4.1%","0.1%","0.3%","1.7%","0.1%","1.6%","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","917,092","444,691","472,401","56,185","57,043","57,116","62,400","65,736","113,848","112,221","133,715","63,733","54,282","80,975","42,795","17,043","39.2","712,172","668,279","173,999","140,813","712,172","340,061","372,111","140,813","62,354","78,459","","917,092","893,139","23,953","893,139","639,294","196,950","2,868","N","N","N","N","30,632","10,980","6,969","3,560","517","2,020","1,631","4,955","144","N","N","N","N","23,251","23,953","10,971","2,672","4,146","487","","917,092","660,236","211,941","7,426","35,927","823","26,817","","917,092","78,813","29,935","24,956","1,315","22,607","838,279","589,642","191,258","2,543","30,485","101","4,138","20,112","983","19,129","410,308"
"    Percent","","917,092","48.5%","51.5%","6.1%","6.2%","6.2%","6.8%","7.2%","12.4%","12.2%","14.6%","6.9%","5.9%","8.8%","4.7%","1.9%","(X)","77.7%","72.9%","19.0%","15.4%","712,172","47.7%","52.3%","140,813","44.3%","55.7%","","917,092","97.4%","2.6%","97.4%","69.7%","21.5%","0.3%","N","N","N","N","3.3%","1.2%","0.8%","0.4%","0.1%","0.2%","0.2%","0.5%","0.0%","N","N","N","N","2.5%","2.6%","1.2%","0.3%","0.5%","0.1%","","917,092","72.0%","23.1%","0.8%","3.9%","0.1%","2.9%","","917,092","8.6%","3.3%","2.7%","0.1%","2.5%","91.4%","64.3%","20.9%","0.3%","3.3%","0.0%","0.5%","2.2%","0.1%","2.1%","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","632,323","299,036","333,287","39,002","30,392","23,874","39,815","59,709","138,878","85,596","75,628","34,811","32,717","39,855","22,501","9,545","33.7","522,871","486,935","91,118","71,901","522,871","244,052","278,819","71,901","29,045","42,856","","632,323","616,452","15,871","616,452","250,657","313,224","2,258","N","N","N","N","21,858","6,108","4,467","3,062","727","2,428","1,571","3,495","54","N","N","N","N","28,401","15,871","3,841","557","4,834","861","","632,323","262,172","321,511","4,882","29,132","1,049","31,055","","632,323","62,726","8,486","4,267","1,850","48,123","569,597","222,975","308,286","1,566","21,717","54","1,659","13,340","1,385","11,955","300,247"
"    Percent","","632,323","47.3%","52.7%","6.2%","4.8%","3.8%","6.3%","9.4%","22.0%","13.5%","12.0%","5.5%","5.2%","6.3%","3.6%","1.5%","(X)","82.7%","77.0%","14.4%","11.4%","522,871","46.7%","53.3%","71,901","40.4%","59.6%","","632,323","97.5%","2.5%","97.5%","39.6%","49.5%","0.4%","N","N","N","N","3.5%","1.0%","0.7%","0.5%","0.1%","0.4%","0.2%","0.6%","0.0%","N","N","N","N","4.5%","2.5%","0.6%","0.1%","0.8%","0.1%","","632,323","41.5%","50.8%","0.8%","4.6%","0.2%","4.9%","","632,323","9.9%","1.3%","0.7%","0.3%","7.6%","90.1%","35.3%","48.8%","0.2%","3.4%","0.0%","0.3%","2.1%","0.2%","1.9%","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","19,317,568","9,441,001","9,876,567","1,070,345","1,111,245","1,119,421","1,193,173","1,319,637","2,381,017","2,408,804","2,739,867","1,278,635","1,186,597","1,899,082","1,121,851","487,894","41.1","15,316,595","14,541,800","4,203,236","3,508,827","15,316,595","7,401,395","7,915,200","3,508,827","1,569,705","1,939,122","","19,317,568","18,858,808","458,760","18,858,808","14,742,516","3,105,799","51,471","10,548","356","311","1,059","488,052","123,644","84,611","98,916","12,928","26,197","75,864","65,892","11,609","5,388","1,972","1,343","2,906","459,361","458,760","153,176","63,581","75,379","10,403","","19,317,568","15,120,922","3,333,615","145,804","617,029","38,004","555,866","","19,317,568","4,484,201","656,114","912,595","1,315,001","1,600,491","14,833,367","10,966,711","2,958,587","41,291","477,131","10,245","51,896","327,506","26,385","301,121","9,031,530"
"    Percent","","19,317,568","48.9%","51.1%","5.5%","5.8%","5.8%","6.2%","6.8%","12.3%","12.5%","14.2%","6.6%","6.1%","9.8%","5.8%","2.5%","(X)","79.3%","75.3%","21.8%","18.2%","15,316,595","48.3%","51.7%","3,508,827","44.7%","55.3%","","19,317,568","97.6%","2.4%","97.6%","76.3%","16.1%","0.3%","0.1%","0.0%","0.0%","0.0%","2.5%","0.6%","0.4%","0.5%","0.1%","0.1%","0.4%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","2.4%","2.4%","0.8%","0.3%","0.4%","0.1%","","19,317,568","78.3%","17.3%","0.8%","3.2%","0.2%","2.9%","","19,317,568","23.2%","3.4%","4.7%","6.8%","8.3%","76.8%","56.8%","15.3%","0.2%","2.5%","0.1%","0.3%","1.7%","0.1%","1.6%","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,919,945","4,851,053","5,068,892","671,105","702,757","715,967","710,669","715,609","1,349,901","1,392,560","1,387,853","612,028","522,140","683,911","336,472","118,973","35.7","7,424,198","6,965,277","1,447,895","1,139,356","7,424,198","3,574,932","3,849,266","1,139,356","489,591","649,765","","9,919,945","9,718,089","201,856","9,718,089","5,992,846","3,063,367","24,166","N","N","N","N","337,015","99,284","49,036","24,556","10,156","58,458","43,763","51,762","2,882","619","520","1,019","724","297,813","201,856","72,760","28,515","35,278","9,732","","9,919,945","6,158,664","3,175,239","73,204","394,171","12,193","326,526","","9,919,945","904,343","544,921","91,554","30,387","237,481","9,015,602","5,460,416","3,023,619","17,070","335,167","2,458","18,170","158,702","7,178","151,524","4,107,554"
"    Percent","","9,919,945","48.9%","51.1%","6.8%","7.1%","7.2%","7.2%","7.2%","13.6%","14.0%","14.0%","6.2%","5.3%","6.9%","3.4%","1.2%","(X)","74.8%","70.2%","14.6%","11.5%","7,424,198","48.2%","51.8%","1,139,356","43.0%","57.0%","","9,919,945","98.0%","2.0%","98.0%","60.4%","30.9%","0.2%","N","N","N","N","3.4%","1.0%","0.5%","0.2%","0.1%","0.6%","0.4%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","3.0%","2.0%","0.7%","0.3%","0.4%","0.1%","","9,919,945","62.1%","32.0%","0.7%","4.0%","0.1%","3.3%","","9,919,945","9.1%","5.5%","0.9%","0.3%","2.4%","90.9%","55.0%","30.5%","0.2%","3.4%","0.0%","0.2%","1.6%","0.1%","1.5%","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,392,313","701,196","691,117","89,013","83,474","82,207","82,212","103,126","199,308","175,142","185,698","92,442","89,268","111,941","61,416","37,066","38.3","1,089,432","1,034,853","260,244","210,423","1,089,432","545,866","543,566","210,423","93,357","117,066","","1,392,313","1,068,588","323,725","1,068,588","347,252","25,613","3,153","N","N","N","N","531,663","2,011","49,205","209,538","188,753","21,986","8,127","52,043","145,408","90,769","2,826","15,683","36,130","15,499","323,725","5,959","9,361","68,703","1,029","","1,392,313","588,604","44,653","29,080","785,044","363,137","36,398","","1,392,313","131,743","38,861","47,281","1,683","43,918","1,260,570","317,032","24,104","2,069","520,824","130,717","2,760","263,064","2,480","260,584","524,387"
